DEBUG 2015-09-11 15:30:07,472 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.001) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,312 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,313 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:12,317 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,319 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:12,320 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,322 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:12,326 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.001) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,328 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:12,336 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,338 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:12,340 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,342 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:12,343 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,345 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:12,346 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,348 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:12,350 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,351 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:12,353 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,355 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.001) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:12,358 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,360 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:12,361 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,362 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:12,364 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,365 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:12,366 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,367 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:12,368 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,370 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:12,371 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,374 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.001) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:12,376 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.001) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,378 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:12,379 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` WHERE `clawer_clawer`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:12,381 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE (`clawer_clawertaskgenerator`.`status` = 4  AND `clawer_clawertaskgenerator`.`clawer_id` = 1 ) ORDER BY `clawer_clawertaskgenerator`.`id` DESC LIMIT 1; args=(4, 1)
DEBUG 2015-09-11 15:30:12,383 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_claweranalysis`.`id`, `clawer_claweranalysis`.`clawer_id`, `clawer_claweranalysis`.`code`, `clawer_claweranalysis`.`status`, `clawer_claweranalysis`.`add_datetime` FROM `clawer_claweranalysis` WHERE (`clawer_claweranalysis`.`status` = 1  AND `clawer_claweranalysis`.`clawer_id` = 1 ) LIMIT 1; args=(1, 1)
DEBUG 2015-09-11 15:30:12,384 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawertaskgenerator`.`id`, `clawer_clawertaskgenerator`.`clawer_id`, `clawer_clawertaskgenerator`.`code`, `clawer_clawertaskgenerator`.`cron`, `clawer_clawertaskgenerator`.`status`, `clawer_clawertaskgenerator`.`failed_reason`, `clawer_clawertaskgenerator`.`add_datetime` FROM `clawer_clawertaskgenerator` WHERE `clawer_clawertaskgenerator`.`id` = 5 ; args=(5,)
DEBUG 2015-09-11 15:30:13,159 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:13,161 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT COUNT(*) FROM `clawer_clawertask` WHERE `clawer_clawertask`.`status` = 3 ; args=(3,)
DEBUG 2015-09-11 15:30:13,939 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `auth_user`.`id`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`password`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`is_superuser`, `auth_user`.`last_login`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
DEBUG 2015-09-11 15:30:13,940 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT COUNT(*) FROM `clawer_clawer`; args=()
DEBUG 2015-09-11 15:30:13,941 /Users/pengxt/Documents/pyenv/dj14/lib/python2.7/site-packages/django/db/backends/util.py:50:: (0.000) SELECT `clawer_clawer`.`id`, `clawer_clawer`.`name`, `clawer_clawer`.`info`, `clawer_clawer`.`status`, `clawer_clawer`.`add_datetime` FROM `clawer_clawer` ORDER BY `clawer_clawer`.`id` DESC LIMIT 1; args=()
